mirna_info	isomiR_rpm_embryo	miRNA_rpm_embryo	Total_rpm_embryo	isomiR_rpm_L1	miRNA_rpm_L1	Total_rpm_L1	isomiR_rpm_L2	miRNA_rpm_L2	Total_rpm_L2	isomiR_rpm_L3	miRNA_rpm_L3	Total_rpm_L3	isomiR_rpm_L4	miRNA_rpm_L4	Total_rpm_L4	isomiR_rpm_YA	miRNA_rpm_YA	Total_rpm_YA	isomiR_rpm_dauer	miRNA_rpm_dauer	Total_rpm_dauer
cel-miR-49-3p	83.5288346865631	1965.82683359896	2049.35566828553	155.679082759095	2560.47792212723	2716.15700488633	171.198972806163	2658.65071476238	2829.84968756854	66.4560546752086	1113.64237076941	1180.09842544461	42.9934265225612	734.735911622913	777.729338145474	57.0672230446023	768.593235224991	825.660458269593	171.159452336327	3475.90234744607	3647.06179978239
cel-miR-74-3p	307.944015307873	5299.92806803917	5607.87208334705	123.404150967576	807.980767937703	931.384918905279	81.1995128029232	605.196368821787	686.39588162471	24.8371113432598	237.966377599611	262.80348894287	20.2420412810502	224.335350065193	244.577391346243	32.8218999591788	325.085250349454	357.907150308633	504.057706880388	5307.31907244491	5811.37677932529
cel-miR-246-3p	42.7830616687275	39.3353424133721	82.1184040820996	8.54336429775523	1.74031494954273	10.283679247298	11.999928000432	2.26665306674827	14.2665810671803	2480.52258624813	432.132173708743	2912.65475995687	4746.84232520496	1055.09549057507	5801.93781578003	3198.73330556941	1104.23427249599	4302.9675780654	60.2286508221211	44.3511506053932	104.579801427514
cel-miR-79-3p	81.4915460356714	3413.08534829017	3494.57689432584	6.32841799833721	261.99650513116	268.324923129498	7.5999544002736	273.065028276497	280.664982676771	12.9220106312906	493.050223827684	505.972234458975	15.5579325548568	657.949986432814	673.50791898767	10.5557869215449	386.440761830934	396.996548752479	374.073905106109	6284.94968578956	6659.02359089567
cel-miR-790-5p	16.4550237187413	180.691831882941	197.146855601682	119.290679268656	5018.75189358132	5138.04257284998	121.865935471054	3260.1137726507	3381.97970812175	23.9980197438253	347.383922165863	371.381941909689	20.0747516836862	224.669929259921	244.744680943607	11.3804577747906	180.108114348861	191.488572123651	166.078652266974	2567.92103505212	2733.9996873191
cel-miR-124-3p	47.4844970169393	3121.28292767782	3168.76742469476	7.11947024812936	8.70157474771366	15.821044995843	5.999964000216	10.6666026670507	16.6665666672667	2.34945647841647	5.53800455626739	7.88746103468385	1.33831677891241	7.36074228401826	8.69905906293067	1.81427587714054	4.28828843687763	6.10256431401817	181.215202473588	8666.57471829875	8847.78992077233
cel-lin-4-5p	4.23129181339063	96.6928536615562	100.924145474947	447.102731582524	699.764820166137	1146.86755174866	1146.92645177462	1665.59000645996	2812.51645823458	630.493427815047	1190.33534295771	1820.82877077276	405.50998401046	909.051672076255	1314.56165608671	246.411650949815	535.211383756458	781.623034706273	109.343051492533	2303.71943144577	2413.0624829383
cel-miR-250-3p	4023.80180002288	176.930683604371	4200.73248362725	299.492381771308	68.3469143820418	367.83929615335	474.530486150416	92.7994432033408	567.329929353757	1058.43014352662	185.607061794901	1244.03720532152	1296.99624836349	222.829743688916	1519.82599205241	864.090120030843	140.194045051769	1004.28416508261	1132.48916545848	96.3235013148158	1228.81266677329
cel-miR-244-5p	125.058180262434	4224.0829458567	4349.14112611914	37.3376661901895	524.309431162238	561.647097352427	25.0665162675691	383.197700813795	408.264217081364	17.6209235881235	229.407643285379	247.028566873503	16.227090944313	200.078358447405	216.305449391718	6.92723516726387	86.0956370788509	93.0228722461148	190.953402606514	3894.11570315468	4085.06910576119
cel-miR-63-3p	109.073300078514	250.429789548082	359.503089626596	360.878036355179	240.479883936814	601.357920291993	603.863043488406	425.864111481998	1029.7271549704	772.971181399018	339.664279451066	1112.63546085008	631.518230049294	327.553031638812	959.071261688106	437.570354732168	208.97159421246	646.541948944628	1552.50197119165	2128.53767905454	3681.03965024619
